"","id","isResult","h.id","h.title","h.short_title","a.id","a.title","a.short_title","goals.h","goals.a","xG.h","xG.a","datetime","forecast.w","forecast.d","forecast.l"
"97","15236",TRUE,240,Union Berlin,UNI,117,Bayern Munich,BAY,1,1,1.08682,1.06474,"2020-12-12 17:30:00",0.3508,0.3107,0.3385
"98","15238",TRUE,121,Augsburg,AUG,124,Schalke 04,SCH,2,2,1.25437,1.90769,"2020-12-13 14:30:00",0.2174,0.253,0.5296
"99","15233",TRUE,119,Bayer Leverkusen,LEV,120,Hoffenheim,HOF,4,1,2.12151,1.67451,"2020-12-13 17:00:00",0.4863,0.2449,0.2688
"100","15247",TRUE,132,Eintracht Frankfurt,EIN,130,Borussia M.Gladbach,BMG,3,3,2.12722,1.14256,"2020-12-15 17:30:00",0.6424,0.2426,0.115
"101","15239",TRUE,122,Hertha Berlin,HER,125,Mainz 05,MAI,0,0,0.490128,0.742962,"2020-12-15 19:30:00",0.1906,0.3977,0.4117
"102","15242",TRUE,123,Werder Bremen,WER,129,Borussia Dortmund,DOR,1,2,0.14594,3.37771,"2020-12-15 19:30:00",0.0005,0.0079,0.9916
"103","15244",TRUE,133,VfB Stuttgart,STU,240,Union Berlin,UNI,2,2,2.18597,1.01547,"2020-12-15 19:30:00",0.6958,0.1887,0.1155
"104","15240",TRUE,124,Schalke 04,SCH,135,Freiburg,FRE,0,2,0.376573,1.15776,"2020-12-16 17:30:00",0.1025,0.2913,0.6062
"105","15241",TRUE,134,FC Cologne,COL,119,Bayer Leverkusen,LEV,0,4,0.251532,1.93376,"2020-12-16 19:30:00",0.0248,0.1293,0.8459
"106","15243",TRUE,262,Arminia Bielefeld,,121,Augsburg,AUG,0,1,0.702085,0.370523,"2020-12-16 19:30:00",0.3951,0.4306,0.1743
"107","15245",TRUE,117,Bayern Munich,BAY,131,Wolfsburg,WOL,2,1,1.26746,1.10816,"2020-12-16 19:30:00",0.4013,0.2862,0.3125
"108","15246",TRUE,120,Hoffenheim,HOF,136,RasenBallsport Leipzig,RBL,0,1,0.752599,0.476324,"2020-12-16 19:30:00",0.3895,0.4235,0.187
"109","15253",TRUE,240,Union Berlin,UNI,129,Borussia Dortmund,DOR,2,1,1.38214,1.1837,"2020-12-18 19:30:00",0.4271,0.276,0.2969
"110","15248",TRUE,136,RasenBallsport Leipzig,RBL,134,FC Cologne,COL,0,0,1.57839,0.205395,"2020-12-19 14:30:00",0.7594,0.204,0.0366
"111","15249",TRUE,130,Borussia M.Gladbach,BMG,120,Hoffenheim,HOF,1,2,2.12823,2.28754,"2020-12-19 14:30:00",0.3429,0.2584,0.3987
"112","15254",TRUE,124,Schalke 04,SCH,262,Arminia Bielefeld,,0,1,0.338524,0.89989,"2020-12-19 14:30:00",0.1236,0.3842,0.4922
