"","id","isResult","h.id","h.title","h.short_title","a.id","a.title","a.short_title","goals.h","goals.a","xG.h","xG.a","datetime","forecast.w","forecast.d","forecast.l"
"81","15514",TRUE,104,Sassuolo,SAS,106,Inter,INT,0,3,0.753035,1.49985,"2020-11-28 14:00:00",0.1525,0.2622,0.5853
"82","15507",TRUE,222,Benevento,BEN,98,Juventus,JUV,1,1,0.439998,1.64625,"2020-11-28 17:00:00",0.0728,0.2185,0.7087
"83","15506",TRUE,107,Atalanta,ATA,94,Verona,VER,0,2,1.20139,1.78911,"2020-11-28 19:45:00",0.1923,0.2562,0.5515
"84","15511",TRUE,96,Lazio,LAZ,99,Udinese,UDI,1,3,1.22788,1.42863,"2020-11-29 11:30:00",0.2748,0.3267,0.3985
"85","15508",TRUE,97,Bologna,BOL,115,Crotone,CRO,1,0,1.80058,0.401219,"2020-11-29 14:00:00",0.83,0.1428,0.0272
"86","15512",TRUE,111,AC Milan,MIL,110,Fiorentina,FIO,2,0,2.85768,0.602734,"2020-11-29 14:00:00",0.9131,0.0684,0.0185
"87","15509",TRUE,116,Cagliari,CAG,260,Spezia,,2,2,1.44548,2.7383,"2020-11-29 17:00:00",0.1165,0.1797,0.7038
"88","15513",TRUE,105,Napoli,NAP,95,Roma,ROM,4,0,2.05867,0.314633,"2020-11-29 19:45:00",0.8951,0.091,0.0139
"89","15515",TRUE,113,Torino,TOR,102,Sampdoria,SAM,2,2,1.63863,1.38058,"2020-11-30 17:30:00",0.4258,0.2723,0.3019
"90","15510",TRUE,101,Genoa,GEN,230,Parma Calcio 1913,PAR,1,2,1.58372,1.40499,"2020-11-30 19:45:00",0.4123,0.2825,0.3052
"91","15523",TRUE,260,Spezia,,96,Lazio,LAZ,1,2,1.7297,0.437896,"2020-12-05 14:00:00",0.7263,0.2064,0.0673
"92","15519",TRUE,98,Juventus,JUV,113,Torino,TOR,2,1,2.52836,1.34238,"2020-12-05 17:00:00",0.6671,0.2027,0.1302
"93","15518",TRUE,106,Inter,INT,97,Bologna,BOL,3,1,1.98287,1.1214,"2020-12-05 19:45:00",0.5831,0.2404,0.1765
"94","15525",TRUE,94,Verona,VER,116,Cagliari,CAG,1,1,3.02671,1.67924,"2020-12-06 11:30:00",0.6878,0.1714,0.1408
"95","15520",TRUE,230,Parma Calcio 1913,PAR,222,Benevento,BEN,0,0,0.501198,0.340508,"2020-12-06 14:00:00",0.3097,0.4923,0.198
"96","15521",TRUE,95,Roma,ROM,104,Sassuolo,SAS,0,0,1.27993,0.209882,"2020-12-06 14:00:00",0.7189,0.2391,0.042
"97","15516",TRUE,115,Crotone,CRO,105,Napoli,NAP,0,4,0.508882,1.93801,"2020-12-06 17:00:00",0.0596,0.175,0.7654
"98","15522",TRUE,102,Sampdoria,SAM,111,AC Milan,MIL,1,2,0.986547,2.66831,"2020-12-06 19:45:00",0.0702,0.1453,0.7845
"99","15517",TRUE,110,Fiorentina,FIO,101,Genoa,GEN,1,1,2.79212,1.37691,"2020-12-07 19:45:00",0.7336,0.1713,0.0951
"100","15534",TRUE,104,Sassuolo,SAS,222,Benevento,BEN,1,0,1.08927,2.09826,"2020-12-11 19:45:00",0.1282,0.2433,0.6285
"101","15529",TRUE,115,Crotone,CRO,260,Spezia,,4,1,1.69279,0.824038,"2020-12-12 14:00:00",0.6288,0.2419,0.1293
"102","15535",TRUE,113,Torino,TOR,99,Udinese,UDI,2,3,1.07631,1.47406,"2020-12-12 17:00:00",0.2301,0.3083,0.4616
"103","15531",TRUE,96,Lazio,LAZ,94,Verona,VER,1,2,0.647828,0.955041,"2020-12-12 19:45:00",0.2207,0.3476,0.4317
"104","15528",TRUE,116,Cagliari,CAG,106,Inter,INT,1,3,1.61081,2.74594,"2020-12-13 11:30:00",0.1291,0.2159,0.655
"105","15526",TRUE,107,Atalanta,ATA,110,Fiorentina,FIO,3,0,2.8038,0.461794,"2020-12-13 14:00:00",0.9074,0.0762,0.0164
"106","15527",TRUE,97,Bologna,BOL,95,Roma,ROM,1,5,0.354826,4.03543,"2020-12-13 14:00:00",0.0048,0.021,0.9742
"107","15533",TRUE,105,Napoli,NAP,102,Sampdoria,SAM,2,1,1.51835,0.713804,"2020-12-13 14:00:00",0.5807,0.27,0.1493
"108","15530",TRUE,101,Genoa,GEN,98,Juventus,JUV,1,3,0.484378,3.60091,"2020-12-13 17:00:00",0.0026,0.0244,0.973
"109","15532",TRUE,111,AC Milan,MIL,230,Parma Calcio 1913,PAR,2,2,1.8515,0.603434,"2020-12-13 19:45:00",0.7093,0.2096,0.0811
"110","15544",TRUE,99,Udinese,UDI,115,Crotone,CRO,0,0,1.10391,0.123143,"2020-12-15 17:30:00",0.6659,0.2994,0.0347
"111","15536",TRUE,222,Benevento,BEN,96,Lazio,LAZ,1,1,1.43093,0.416738,"2020-12-15 19:45:00",0.6793,0.241,0.0797
"112","15540",TRUE,98,Juventus,JUV,107,Atalanta,ATA,1,1,2.71039,0.902039,"2020-12-16 17:30:00",0.8136,0.1288,0.0576
"113","15537",TRUE,110,Fiorentina,FIO,104,Sassuolo,SAS,1,1,1.71835,1.7103,"2020-12-16 19:45:00",0.3595,0.2765,0.364
"114","15538",TRUE,101,Genoa,GEN,111,AC Milan,MIL,2,2,1.22979,2.05417,"2020-12-16 19:45:00",0.1609,0.2367,0.6024
"115","15539",TRUE,106,Inter,INT,105,Napoli,NAP,1,0,1.31797,3.25581,"2020-12-16 19:45:00",0.0451,0.1238,0.8311
"116","15541",TRUE,230,Parma Calcio 1913,PAR,116,Cagliari,CAG,0,0,0.870374,0.265316,"2020-12-16 19:45:00",0.5255,0.379,0.0955
"117","15543",TRUE,260,Spezia,,97,Bologna,BOL,2,2,2.66532,1.61165,"2020-12-16 19:45:00",0.6615,0.2214,0.1171
"118","15545",TRUE,94,Verona,VER,102,Sampdoria,SAM,1,2,1.49333,0.779474,"2020-12-16 19:45:00",0.5938,0.2776,0.1286
"119","15542",TRUE,95,Roma,ROM,113,Torino,TOR,3,1,3.04581,0.975058,"2020-12-17 19:45:00",0.847,0.1068,0.0462
"120","15549",TRUE,110,Fiorentina,FIO,94,Verona,VER,1,1,1.68253,1.24682,"2020-12-19 14:00:00",0.4866,0.3175,0.1959
"121","15553",TRUE,102,Sampdoria,SAM,115,Crotone,CRO,3,1,2.48022,1.04297,"2020-12-19 17:00:00",0.7981,0.1592,0.0427
"122","15552",TRUE,230,Parma Calcio 1913,PAR,98,Juventus,JUV,0,4,0.926619,2.80045,"2020-12-19 19:45:00",0.0448,0.1196,0.8356
"123","15555",TRUE,113,Torino,TOR,97,Bologna,BOL,1,1,1.10564,2.17731,"2020-12-20 11:30:00",0.133,0.212,0.655
