"","player_id","X.1","match_id","id","minute","result","X","Y","xG","player.x","h_a","situation","season","shotType","match_id.1","h_team","a_team","h_goals","a_goals","date","player_assisted","lastAction","xG_sum_l","xG_sum_r","xG_sum_h","goal_count_l","goal_count_r","goal_count_h","shots_count_l","shots_count_r","shots_count_h","player.y","difference_shots","difference_goals","difference","xG_sum","goal_sum","shot_sum","goal_for_shot"
"36",27,13,12695,365341,91,"SavedShot",0.964000015258789,0.405999984741211,0.142343103885651,"Vladimir Darida","h","OpenPlay",2019,"RightFoot",12695,"Hertha Berlin","Bayer Leverkusen",2,0,"2020-06-20 13:30:00","Vedad Ibisevic","Pass",0.905721643939614,2.08738788124174,0.0839083045721054,0,3,0,14,27,2,"Vladimir Darida",0.585714285714286,0.392857142857143,0.280920579884407,3.07701782975346,3,43,14.3333333333333
"37",27,7,12623,361708,38,"BlockedShot",0.904000015258789,0.599000015258789,0.105511248111725,"Vladimir Darida","h","OpenPlay",2019,"LeftFoot",12623,"Hertha Berlin","Werder Bremen",2,2,"2020-03-07 14:30:00","Matheus Cunha","Pass",0.905721643939614,2.08738788124174,0.0839083045721054,0,3,0,14,27,2,"Vladimir Darida",0.585714285714286,0.392857142857143,0.280920579884407,3.07701782975346,3,43,14.3333333333333
"38",27,17,12424,315628,61,"BlockedShot",0.905999984741211,0.330999984741211,0.0692396834492683,"Vladimir Darida","a","OpenPlay",2019,"RightFoot",12424,"Schalke 04","Hertha Berlin",3,0,"2019-08-31 14:30:00","Dodi Lukebakio","Pass",0.905721643939614,2.08738788124174,0.0839083045721054,0,3,0,14,27,2,"Vladimir Darida",0.585714285714286,0.392857142857143,0.280920579884407,3.07701782975346,3,43,14.3333333333333
"39",27,14,12653,363457,14,"MissedShots",0.821999969482422,0.47,0.0768970996141434,"Vladimir Darida","a","OpenPlay",2019,"RightFoot",12653,"RasenBallsport Leipzig","Hertha Berlin",2,2,"2020-05-27 16:30:00","Dodi Lukebakio","Pass",0.905721643939614,2.08738788124174,0.0839083045721054,0,3,0,14,27,2,"Vladimir Darida",0.585714285714286,0.392857142857143,0.280920579884407,3.07701782975346,3,43,14.3333333333333
"40",27,6,12513,333512,33,"Goal",0.895999984741211,0.505,0.106841817498207,"Vladimir Darida","h","OpenPlay",2019,"RightFoot",12513,"Hertha Berlin","Borussia Dortmund",1,2,"2019-11-30 14:30:00","Dodi Lukebakio","Rebound",0.905721643939614,2.08738788124174,0.0839083045721054,0,3,0,14,27,2,"Vladimir Darida",0.585714285714286,0.392857142857143,0.280920579884407,3.07701782975346,3,43,14.3333333333333
"41",27,11,12456,323493,27,"MissedShots",0.950999984741211,0.681999969482422,0.0359830297529697,"Vladimir Darida","a","OpenPlay",2019,"LeftFoot",12456,"FC Cologne","Hertha Berlin",0,4,"2019-09-29 16:00:00","Marius Wolf","Cross",0.905721643939614,2.08738788124174,0.0839083045721054,0,3,0,14,27,2,"Vladimir Darida",0.585714285714286,0.392857142857143,0.280920579884407,3.07701782975346,3,43,14.3333333333333
"42",27,5,12623,361706,34,"BlockedShot",0.845,0.312999992370605,0.0205814316868782,"Vladimir Darida","h","OpenPlay",2019,"RightFoot",12623,"Hertha Berlin","Werder Bremen",2,2,"2020-03-07 14:30:00",NA,"Rebound",0.905721643939614,2.08738788124174,0.0839083045721054,0,3,0,14,27,2,"Vladimir Darida",0.585714285714286,0.392857142857143,0.280920579884407,3.07701782975346,3,43,14.3333333333333
"43",27,10,12658,363624,62,"MissedShots",0.86,0.7,0.0318662226200104,"Vladimir Darida","h","FromCorner",2019,"LeftFoot",12658,"Hertha Berlin","Augsburg",2,0,"2020-05-30 13:30:00","Peter Pekarík","Cross",0.905721643939614,2.08738788124174,0.0839083045721054,0,3,0,14,27,2,"Vladimir Darida",0.585714285714286,0.392857142857143,0.280920579884407,3.07701782975346,3,43,14.3333333333333
"44",27,6,12494,330578,89,"BlockedShot",0.725,0.716999969482422,0.0100702522322536,"Vladimir Darida","h","OpenPlay",2019,"RightFoot",12494,"Hertha Berlin","RasenBallsport Leipzig",2,4,"2019-11-09 14:30:00","Maximilian Mittelstädt","Pass",0.905721643939614,2.08738788124174,0.0839083045721054,0,3,0,14,27,2,"Vladimir Darida",0.585714285714286,0.392857142857143,0.280920579884407,3.07701782975346,3,43,14.3333333333333
"45",27,6,12459,323739,10,"BlockedShot",0.865999984741211,0.257999992370605,0.0275974944233894,"Vladimir Darida","h","FromCorner",2019,"LeftFoot",12459,"Hertha Berlin","Fortuna Duesseldorf",3,1,"2019-10-04 19:30:00","Vedad Ibisevic","Rebound",0.905721643939614,2.08738788124174,0.0839083045721054,0,3,0,14,27,2,"Vladimir Darida",0.585714285714286,0.392857142857143,0.280920579884407,3.07701782975346,3,43,14.3333333333333
"46",27,3,12482,327016,26,"SavedShot",0.736999969482422,0.617999992370605,0.0136252045631409,"Vladimir Darida","h","OpenPlay",2019,"RightFoot",12482,"Hertha Berlin","Hoffenheim",2,3,"2019-10-26 14:30:00",NA,"None",0.905721643939614,2.08738788124174,0.0839083045721054,0,3,0,14,27,2,"Vladimir Darida",0.585714285714286,0.392857142857143,0.280920579884407,3.07701782975346,3,43,14.3333333333333
"47",27,14,12664,363959,30,"SavedShot",0.77,0.334000015258789,0.0164243765175343,"Vladimir Darida","a","OpenPlay",2019,"RightFoot",12664,"Borussia Dortmund","Hertha Berlin",1,0,"2020-06-06 16:30:00",NA,"None",0.905721643939614,2.08738788124174,0.0839083045721054,0,3,0,14,27,2,"Vladimir Darida",0.585714285714286,0.392857142857143,0.280920579884407,3.07701782975346,3,43,14.3333333333333
"48",27,7,12420,313187,58,"BlockedShot",0.95,0.645999984741211,0.064479224383831,"Vladimir Darida","h","SetPiece",2019,"LeftFoot",12420,"Hertha Berlin","Wolfsburg",0,3,"2019-08-25 17:00:00",NA,"None",0.905721643939614,2.08738788124174,0.0839083045721054,0,3,0,14,27,2,"Vladimir Darida",0.585714285714286,0.392857142857143,0.280920579884407,3.07701782975346,3,43,14.3333333333333
"49",27,10,12424,315615,4,"MissedShots",0.760999984741211,0.64,0.023196030408144,"Vladimir Darida","a","OpenPlay",2019,"LeftFoot",12424,"Schalke 04","Hertha Berlin",3,0,"2019-08-31 14:30:00","Marko Grujic","Pass",0.905721643939614,2.08738788124174,0.0839083045721054,0,3,0,14,27,2,"Vladimir Darida",0.585714285714286,0.392857142857143,0.280920579884407,3.07701782975346,3,43,14.3333333333333
"50",27,11,12695,365339,72,"BlockedShot",0.756999969482422,0.497000007629395,0.0271842405200005,"Vladimir Darida","h","OpenPlay",2019,"RightFoot",12695,"Hertha Berlin","Bayer Leverkusen",2,0,"2020-06-20 13:30:00","Krzysztof Piatek","Pass",0.905721643939614,2.08738788124174,0.0839083045721054,0,3,0,14,27,2,"Vladimir Darida",0.585714285714286,0.392857142857143,0.280920579884407,3.07701782975346,3,43,14.3333333333333
"51",27,11,12533,336928,52,"Goal",0.753000030517578,0.539000015258789,0.0315249972045422,"Vladimir Darida","h","OpenPlay",2019,"RightFoot",12533,"Hertha Berlin","Freiburg",1,0,"2019-12-14 14:30:00","Davie Selke","LayOff",0.905721643939614,2.08738788124174,0.0839083045721054,0,3,0,14,27,2,"Vladimir Darida",0.585714285714286,0.392857142857143,0.280920579884407,3.07701782975346,3,43,14.3333333333333
"52",27,7,12482,327027,51,"MissedShots",0.716999969482422,0.524000015258789,0.0135664660483599,"Vladimir Darida","h","OpenPlay",2019,"LeftFoot",12482,"Hertha Berlin","Hoffenheim",2,3,"2019-10-26 14:30:00","Marius Wolf","Pass",0.905721643939614,2.08738788124174,0.0839083045721054,0,3,0,14,27,2,"Vladimir Darida",0.585714285714286,0.392857142857143,0.280920579884407,3.07701782975346,3,43,14.3333333333333
"53",27,16,12664,363966,63,"BlockedShot",0.763000030517578,0.412999992370605,0.0227960702031851,"Vladimir Darida","a","OpenPlay",2019,"LeftFoot",12664,"Borussia Dortmund","Hertha Berlin",1,0,"2020-06-06 16:30:00","Peter Pekarík","Pass",0.905721643939614,2.08738788124174,0.0839083045721054,0,3,0,14,27,2,"Vladimir Darida",0.585714285714286,0.392857142857143,0.280920579884407,3.07701782975346,3,43,14.3333333333333
"54",27,26,12472,325482,68,"MissedShots",0.725999984741211,0.753000030517578,0.0133697958663106,"Vladimir Darida","a","OpenPlay",2019,"RightFoot",12472,"Werder Bremen","Hertha Berlin",1,1,"2019-10-19 14:30:00","Lukas Klünter","Pass",0.905721643939614,2.08738788124174,0.0839083045721054,0,3,0,14,27,2,"Vladimir Darida",0.585714285714286,0.392857142857143,0.280920579884407,3.07701782975346,3,43,14.3333333333333
"55",27,27,12524,335297,34,"BlockedShot",0.780999984741211,0.475999984741211,0.0138162756338716,"Vladimir Darida","a","SetPiece",2019,"RightFoot",12524,"Eintracht Frankfurt","Hertha Berlin",2,2,"2019-12-06 19:30:00",NA,"Aerial",0.905721643939614,2.08738788124174,0.0839083045721054,0,3,0,14,27,2,"Vladimir Darida",0.585714285714286,0.392857142857143,0.280920579884407,3.07701782975346,3,43,14.3333333333333
"56",27,10,12513,333518,74,"BlockedShot",0.845999984741211,0.585,0.04220050573349,"Vladimir Darida","h","OpenPlay",2019,"LeftFoot",12513,"Hertha Berlin","Borussia Dortmund",1,2,"2019-11-30 14:30:00","Davie Selke","HeadPass",0.905721643939614,2.08738788124174,0.0839083045721054,0,3,0,14,27,2,"Vladimir Darida",0.585714285714286,0.392857142857143,0.280920579884407,3.07701782975346,3,43,14.3333333333333
"57",27,38,12599,358941,87,"SavedShot",0.783000030517578,0.602000007629395,0.0410678684711456,"Vladimir Darida","a","OpenPlay",2019,"RightFoot",12599,"Paderborn","Hertha Berlin",1,2,"2020-02-15 14:30:00","Krzysztof Piatek","Pass",0.905721643939614,2.08738788124174,0.0839083045721054,0,3,0,14,27,2,"Vladimir Darida",0.585714285714286,0.392857142857143,0.280920579884407,3.07701782975346,3,43,14.3333333333333
"58",27,6,12440,320359,84,"SavedShot",0.875999984741211,0.534000015258789,0.122414104640484,"Vladimir Darida","h","OpenPlay",2019,"LeftFoot",12440,"Hertha Berlin","Paderborn",2,1,"2019-09-21 13:30:00","Marvin Plattenhardt","Pass",0.905721643939614,2.08738788124174,0.0839083045721054,0,3,0,14,27,2,"Vladimir Darida",0.585714285714286,0.392857142857143,0.280920579884407,3.07701782975346,3,43,14.3333333333333
"59",27,19,12653,363468,55,"MissedShots",0.730999984741211,0.48,0.0140634719282389,"Vladimir Darida","a","OpenPlay",2019,"RightFoot",12653,"RasenBallsport Leipzig","Hertha Berlin",2,2,"2020-05-27 16:30:00",NA,"None",0.905721643939614,2.08738788124174,0.0839083045721054,0,3,0,14,27,2,"Vladimir Darida",0.585714285714286,0.392857142857143,0.280920579884407,3.07701782975346,3,43,14.3333333333333
"60",27,4,12559,355258,61,"BlockedShot",0.925999984741211,0.447000007629395,0.0521066337823868,"Vladimir Darida","h","OpenPlay",2019,"Head",12559,"Hertha Berlin","Bayern Munich",0,4,"2020-01-19 14:30:00",NA,"None",0.905721643939614,2.08738788124174,0.0839083045721054,0,3,0,14,27,2,"Vladimir Darida",0.585714285714286,0.392857142857143,0.280920579884407,3.07701782975346,3,43,14.3333333333333
