"","id","fid","h","a","date","league_id","season","h_goals","a_goals","team_h","team_a","h_xg","a_xg","h_w","h_d","h_l","league","h_shot","a_shot","h_shotOnTarget","a_shotOnTarget","h_deep","a_deep","a_ppda","h_ppda"
"1","14825","1492011","158","207","2020-10-18 16:30:00","4","2020","0","2","Alaves","Elche","0.90822","0.902261","0.3228","0.345","0.3322","La liga","13","7","2","3","9","1","12.3158","9.4286"
"1","14832","1492025","232","231","2020-10-18 16:30:00","4","2020","2","2","SD Huesca","Real Valladolid","1.25439","0.907963","0.4199","0.3476","0.2325","La liga","12","5","7","3","2","0","10.0938","9.9091"
"1","14827","1492015","153","140","2020-10-18 19:00:00","4","2020","0","3","Real Betis","Real Sociedad","0.304528","1.58336","0.0423","0.1656","0.7921","La liga","7","8","1","5","0","5","10.7692","10.5000"
"1","14844","1492046","207","146","2020-10-23 19:00:00","4","2020","2","1","Elche","Valencia","0.165573","1.23519","0.0327","0.2344","0.7329","La liga","3","14","2","4","1","8","11.4074","15.8333"
"1","14836","1492033","148","150","2020-10-24 14:00:00","4","2020","1","3","Barcelona","Real Madrid","1.57351","3.20848","0.0932","0.1504","0.7564","La liga","10","15","4","9","5","8","13.5000","11.7500"
"1","14840","1492041","157","147","2020-10-24 16:30:00","4","2020","1","0","Osasuna","Athletic Club","0.989319","0.5791","0.4951","0.3418","0.1631","La liga","7","13","2","5","3","5","6.5909","11.0385"
"1","14842","1492044","138","156","2020-10-24 16:30:00","4","2020","0","1","Sevilla","Eibar","1.98558","0.198368","0.8787","0.1074","0.0139","La liga","21","3","3","1","5","2","15.6296","5.1739"
"1","14835","1492031","143","153","2020-10-24 19:00:00","4","2020","2","0","Atletico Madrid","Real Betis","1.24304","1.01541","0.4005","0.3109","0.2886","La liga","13","12","6","3","8","5","7.0000","10.9655"
"1","14843","1492045","231","158","2020-10-25 13:00:00","4","2020","0","2","Real Valladolid","Alaves","0.305213","2.3128","0.0166","0.0803","0.9031","La liga","5","14","1","4","5","4","11.3333","19.3846"
"1","14838","1492037","261","154","2020-10-25 15:00:00","4","2020","0","0","Cadiz","Villarreal","0.20914","0.752296","0.0841","0.3955","0.5204","La liga","5","7","0","2","4","4","4.9444","24.4500"
"1","14837","1492035","142","155","2020-10-25 17:30:00","4","2020","0","1","Getafe","Granada","1.33438","0.949811","0.4401","0.3505","0.2094","La liga","10","5","1","2","4","2","5.0385","2.5000"
"1","14841","1492043","140","232","2020-10-25 20:00:00","4","2020","4","1","Real Sociedad","SD Huesca","1.79773","0.591473","0.7155","0.2167","0.0678","La liga","13","6","6","4","16","2","15.0625","8.8571"
"1","14839","1492039","151","152","2020-10-26 20:00:00","4","2020","1","1","Levante","Celta Vigo","1.19249","0.818389","0.4593","0.3379","0.2028","La liga","10","11","3","3","10","3","8.4063","6.0345"
"1","14849","1492132","156","261","2020-10-30 20:00:00","4","2020","0","2","Eibar","Cadiz","0.466935","0.932416","0.1551","0.3505","0.4944","La liga","9","6","3","4","3","3","21.7500","4.6875"
"1","14852","1492136","150","232","2020-10-31 13:00:00","4","2020","4","1","Real Madrid","SD Huesca","2.23898","0.79915","0.7432","0.1759","0.0809","La liga","13","9","6","2","9","0","20.5556","9.3030"
"1","14846","1492048","147","138","2020-10-31 15:00:00","4","2020","2","1","Athletic Club","Sevilla","1.32876","1.15091","0.4051","0.3096","0.2853","La liga","16","7","5","3","3","6","6.3929","13.5000"
"1","14851","1492134","157","143","2020-10-31 17:30:00","4","2020","1","3","Osasuna","Atletico Madrid","1.42768","3.06286","0.0669","0.1474","0.7857","La liga","8","11","3","6","2","9","10.3636","16.5500"
"1","14845","1492047","158","148","2020-10-31 20:00:00","4","2020","1","1","Alaves","Barcelona","1.11324","2.07747","0.1408","0.2554","0.6038","La liga","4","25","3","9","0","24","5.8824","21.2222"
"1","14847","1492049","153","207","2020-11-01 13:00:00","4","2020","3","1","Real Betis","Elche","3.06462","0.478252","0.9311","0.0565","0.0124","La liga","17","4","10","2","13","2","29.1429","8.7632"
"1","14848","1492050","152","140","2020-11-01 15:00:00","4","2020","1","4","Celta Vigo","Real Sociedad","2.12312","2.27628","0.3175","0.2829","0.3996","La liga","9","9","2","7","5","7","6.3947","7.6154"
"1","14850","1492133","155","151","2020-11-01 17:30:00","4","2020","1","1","Granada","Levante","0.230886","0.813588","0.0926","0.4215","0.4859","La liga","5","19","2","4","4","15","5.0588","35.1667"
"1","14853","1492138","146","142","2020-11-01 20:00:00","4","2020","2","2","Valencia","Getafe","1.75934","2.35774","0.2207","0.2447","0.5346","La liga","11","16","5","5","4","8","3.2500","6.7200"
